courseCode,courseName,teacher,dayOfWeek,startPeriod,endPeriod,location,classSize,color,notes
CS2203,计算机组成与系统结构,魏同权,1,3,4,教书院116,75,#71B1EF,
CS2203,计算机组成与系统结构,魏同权,4,3,4,教书院116,75,#71B1EF,
POLI3800,Western Marxism,马奥尼,1,11,13,教书院109,50,#AACD97,本课程在第12周结课
CS2101,人工智能,周爱民,2,6,7,教书院124,40,#F9AC9A,
CS2101,人工智能,周爱民,2,8,9,理科大楼B127,40,#F9AC9A,
MARX1001,习近平新时代中国特色社会主义思想概论,王磊,2,11,13,教书院116,133,#EFC772,
CS2204,计算机网络,陈蕾,3,3,5,教书院116,76,#7B97C7,
CS2309,人机交互技术,高岩,4,1,2,教书院124,42,#D9C4A7,
CS2304,机器学习,赵静,4,6,8,文史楼203,76,#9AA6BC,本课程涉及实操，请大家携带笔记本电脑
CS3301,计算机图形学,高岩,5,1,2,文史楼107,61,#C8A8E9,
CS3301,计算机图形学,高岩,5,3,4,理科大楼B116,61,#C8A8E9,
CS2311,数据可视化,李晨辉,5,6,7,教书院124,47,#89D4C2,单周上理论课
CS2311,数据可视化,李晨辉,5,8,9,理科大楼B120,47,#89D4C2,
